Sentiment,Description
Very Positive,Extremely optimistic or enthusiastic tone
Positive,Generally favorable or happy tone
Slightly Positive,Mildly favorable tone
Neutral,Unbiased and objective tone
Slightly Negative,Mildly unfavorable tone
Negative,Generally unfavorable or critical tone
Very Negative,Extremely pessimistic or critical tone
Mixed,A combination of both positive and negative sentiments within the same output.
Ambiguous,Unclear or uncertain sentiment
Sarcastic,A tone that may outwardly appear positive or negative but actually conveys the opposite sentiment.
